GCM,1971-2000,2026-2055,2056-2085,pc_1,pc_2
ACCESS-CM2,928.3555850841877,858.5058881808558,1020.215705566516,-7.52402398667076,9.894928404399911
CNRM-ESM2-1,941.609110633825,854.055239246685,835.5091884352441,-9.29832458059002,-11.267937087732921
EC-Earth3,948.4754415029345,901.5677250098025,906.9490861587832,-4.945591044382018,-4.378221462260477
EC-Earth3-Veg,829.8842154050578,873.1416199124341,838.0987762437879,5.212462618807943,0.9898442079321471
FGOALS-g3,932.7407249557941,888.5003775007159,1056.8096468580875,-4.743048767081006,13.301544425239225
GFDL-ESM4,882.2452603944845,890.5915975893282,997.2200526600789,0.9460336676800928,13.032066867005314
INM-CM5-0,868.7273477134848,913.1270715506636,891.5563961427945,5.110892842735994,2.627872656408981
IPSL-CM6A-LR,933.3250991206612,839.1189734328135,780.0877917326849,-10.093602516058409,-16.418427783882585
KACE-1-0-G,921.0600848675566,856.1603984650905,1021.3029151017448,-7.046194647746393,10.883419212396179
MIROC6,909.1312224844453,830.2465440725823,820.2231086748392,-8.676929849168463,-9.779458851566092
MPI-ESM1-2-HR,862.5108030750441,900.4336684063471,891.2818446940022,4.3967988802110645,3.3357311602802957
MRI-ESM2-0,895.0231416759059,816.5557307435286,888.7543788082965,-8.767081796952121,-0.7004023220976561
